geoid,county,state,total_population
39155,Trumbull County, Ohio,204908
39157,Tuscarawas County, Ohio,92579
39159,Union County, Ohio,53955
39161,Van Wert County, Ohio,28501
39163,Vinton County, Ohio,13128
39165,Warren County, Ohio,222184
39167,Washington County, Ohio,61154
39169,Wayne County, Ohio,115747
39171,Williams County, Ohio,37270
39173,Wood County, Ohio,129418
39175,Wyandot County, Ohio,22359
40001,Adair County, Oklahoma,22161
40003,Alfalfa County, Oklahoma,5784
40005,Atoka County, Oklahoma,13847
40007,Beaver County, Oklahoma,5479
40009,Beckham County, Oklahoma,23290
40011,Blaine County, Oklahoma,9777
40013,Bryan County, Oklahoma,44529
40015,Caddo County, Oklahoma,29510
40017,Canadian County, Oklahoma,129571
40019,Carter County, Oklahoma,48530
40021,Cherokee County, Oklahoma,48267
40023,Choctaw County, Oklahoma,15051
40025,Cimarron County, Oklahoma,2269
40027,Cleveland County, Oklahoma,271818
40029,Coal County, Oklahoma,5755
40031,Comanche County, Oklahoma,124583
40033,Cotton County, Oklahoma,6062
40035,Craig County, Oklahoma,14683
40037,Creek County, Oklahoma,70931
40039,Custer County, Oklahoma,29248
40041,Delaware County, Oklahoma,41433
40043,Dewey County, Oklahoma,4862
40045,Ellis County, Oklahoma,4123
40047,Garfield County, Oklahoma,62481
40049,Garvin County, Oklahoma,27570
40051,Grady County, Oklahoma,53955
40053,Grant County, Oklahoma,4497
40055,Greer County, Oklahoma,6081
40057,Harmon County, Oklahoma,2813
40059,Harper County, Oklahoma,3785
40061,Haskell County, Oklahoma,12835
40063,Hughes County, Oklahoma,13727
40065,Jackson County, Oklahoma,25864
40067,Jefferson County, Oklahoma,6280
40069,Johnston County, Oklahoma,11027
40071,Kay County, Oklahoma,45398
40073,Kingfisher County, Oklahoma,15392
40075,Kiowa County, Oklahoma,9239
40077,Latimer County, Oklahoma,10643
40079,Le Flore County, Oklahoma,49885
40081,Lincoln County, Oklahoma,34640
40083,Logan County, Oklahoma,45171
40085,Love County, Oklahoma,9768
40087,McClain County, Oklahoma,37222
40089,McCurtain County, Oklahoma,33071
40091,McIntosh County, Oklahoma,20161
40093,Major County, Oklahoma,7721
40095,Marshall County, Oklahoma,16079
40097,Mayes County, Oklahoma,40923
40099,Murray County, Oklahoma,13792
40101,Muskogee County, Oklahoma,69939
40103,Noble County, Oklahoma,11470
40105,Nowata County, Oklahoma,10510
40107,Okfuskee County, Oklahoma,12212
40109,Oklahoma County, Oklahoma,764698
40111,Okmulgee County, Oklahoma,39322
40113,Osage County, Oklahoma,47923
40115,Ottawa County, Oklahoma,32022
40117,Pawnee County, Oklahoma,16444
40119,Payne County, Oklahoma,79953
40121,Pittsburg County, Oklahoma,44643
40123,Pontotoc County, Oklahoma,38213
40125,Pottawatomie County, Oklahoma,71551
40127,Pushmataha County, Oklahoma,11149
40129,Roger Mills County, Oklahoma,3732
40131,Rogers County, Oklahoma,89970
40133,Seminole County, Oklahoma,25403
40135,Sequoyah County, Oklahoma,41344
40137,Stephens County, Oklahoma,44631
40139,Texas County, Oklahoma,21499
40141,Tillman County, Oklahoma,7611
40143,Tulsa County, Oklahoma,629823
40145,Wagoner County, Oklahoma,76190
40147,Washington County, Oklahoma,51892
40149,Washita County, Oklahoma,11626
40151,Woods County, Oklahoma,9125
40153,Woodward County, Oklahoma,21111
41001,Baker County, Oregon,16030
41003,Benton County, Oregon,87455
41005,Clackamas County, Oregon,394967
41007,Clatsop County, Oregon,37660
41009,Columbia County, Oregon,49645
41011,Coos County, Oregon,62944
41013,Crook County, Oregon,21334
41015,Curry County, Oregon,22364
41017,Deschutes County, Oregon,170813
41019,Douglas County, Oregon,107375
41021,Gilliam County, Oregon,1913
41023,Grant County, Oregon,7227
41025,Harney County, Oregon,7214
41027,Hood River County, Oregon,22842
41029,Jackson County, Oregon,210916
41031,Jefferson County, Oregon,22305
41033,Josephine County, Oregon,84063
41035,Klamath County, Oregon,65946
41037,Lake County, Oregon,7799
41039,Lane County, Oregon,360273
41041,Lincoln County, Oregon,46685
41043,Linn County, Oregon,119862
41045,Malheur County, Oregon,30474
41047,Marion County, Oregon,326527
41049,Morrow County, Oregon,11207
41051,Multnomah County, Oregon,778193
41053,Polk County, Oregon,78470
41055,Sherman County, Oregon,1705
41057,Tillamook County, Oregon,25552
41059,Umatilla County, Oregon,76582
41061,Union County, Oregon,25758
41063,Wallowa County, Oregon,6836
41065,Wasco County, Oregon,25657
41067,Washington County, Oregon,564088
41069,Wheeler County, Oregon,1369
41071,Yamhill County, Oregon,102217
42001,Adams County, Pennsylvania,101759
42003,Allegheny County, Pennsylvania,1230360
42005,Armstrong County, Pennsylvania,67512
42007,Beaver County, Pennsylvania,169205
42009,Bedford County, Pennsylvania,48852
42011,Berks County, Pennsylvania,414097
42013,Blair County, Pennsylvania,125917
42015,Bradford County, Pennsylvania,61808
42017,Bucks County, Pennsylvania,626220
42019,Butler County, Pennsylvania,185974
42021,Cambria County, Pennsylvania,137762
42023,Cameron County, Pennsylvania,4807
42025,Carbon County, Pennsylvania,64330
42027,Centre County, Pennsylvania,159178
42029,Chester County, Pennsylvania,512028
42031,Clarion County, Pennsylvania,38939
42033,Clearfield County, Pennsylvania,81170
42035,Clinton County, Pennsylvania,39536
42037,Columbia County, Pennsylvania,66772
42039,Crawford County, Pennsylvania,87027
42041,Cumberland County, Pennsylvania,243838
42043,Dauphin County, Pennsylvania,271962
42045,Delaware County, Pennsylvania,562316
42047,Elk County, Pennsylvania,31111
42049,Erie County, Pennsylvania,279133
42051,Fayette County, Pennsylvania,134229
42053,Forest County, Pennsylvania,7493
42055,Franklin County, Pennsylvania,152707
42057,Fulton County, Pennsylvania,14653
42059,Greene County, Pennsylvania,37669
42061,Huntingdon County, Pennsylvania,45844
42063,Indiana County, Pennsylvania,87491
42065,Jefferson County, Pennsylvania,44575
42067,Juniata County, Pennsylvania,24811
42069,Lackawanna County, Pennsylvania,213006
42071,Lancaster County, Pennsylvania,533110
42073,Lawrence County, Pennsylvania,88528
42075,Lebanon County, Pennsylvania,136950
42077,Lehigh County, Pennsylvania,358792
42079,Luzerne County, Pennsylvania,318917
42081,Lycoming County, Pennsylvania,116313
42083,McKean County, Pennsylvania,42609
42085,Mercer County, Pennsylvania,114598
42087,Mifflin County, Pennsylvania,46585
42089,Monroe County, Pennsylvania,167126
42091,Montgomery County, Pennsylvania,815876
42093,Montour County, Pennsylvania,18404
42095,Northampton County, Pennsylvania,300520
42097,Northumberland County, Pennsylvania,93590
42099,Perry County, Pennsylvania,45647
42101,Philadelphia County, Pennsylvania,1559938
42103,Pike County, Pennsylvania,56210
42105,Potter County, Pennsylvania,17239
42107,Schuylkill County, Pennsylvania,145503
42109,Snyder County, Pennsylvania,40246
42111,Somerset County, Pennsylvania,76201
42113,Sullivan County, Pennsylvania,6302
42115,Susquehanna County, Pennsylvania,41832
42117,Tioga County, Pennsylvania,42031
42119,Union County, Pennsylvania,45178
42121,Venango County, Pennsylvania,53460
42123,Warren County, Pennsylvania,40649
42125,Washington County, Pennsylvania,208269
42127,Wayne County, Pennsylvania,51307
42129,Westmoreland County, Pennsylvania,359377
42131,Wyoming County, Pennsylvania,27975
42133,York County, Pennsylvania,440604
44001,Bristol County, Rhode Island,49228
44003,Kent County, Rhode Island,164886
44005,Newport County, Rhode Island,82714
44007,Providence County, Rhode Island,631344
44009,Washington County, Rhode Island,126319
45001,Abbeville County, South Carolina,24951
45003,Aiken County, South Carolina,165146
45005,Allendale County, South Carolina,9589
45007,Anderson County, South Carolina,192709
45009,Bamberg County, South Carolina,15057
45011,Barnwell County, South Carolina,21917
45013,Beaufort County, South Carolina,175316
45015,Berkeley County, South Carolina,199081
45017,Calhoun County, South Carolina,14886
45019,Charleston County, South Carolina,380673
45021,Cherokee County, South Carolina,56274
45023,Chester County, South Carolina,32435
45025,Chesterfield County, South Carolina,46083
45027,Clarendon County, South Carolina,34056
45029,Colleton County, South Carolina,37884
45031,Darlington County, South Carolina,67689
45033,Dillon County, South Carolina,31273
45035,Dorchester County, South Carolina,148517
45037,Edgefield County, South Carolina,26388
45039,Fairfield County, South Carolina,23025
45041,Florence County, South Carolina,138575
45043,Georgetown County, South Carolina,60804
45045,Greenville County, South Carolina,482191
45047,Greenwood County, South Carolina,69881
45049,Hampton County, South Carolina,20296
45051,Horry County, South Carolina,300418
45053,Jasper County, South Carolina,27186
45055,Kershaw County, South Carolina,63090
45057,Lancaster County, South Carolina,83704
45059,Laurens County, South Carolina,66442
45061,Lee County, South Carolina,18189
45063,Lexington County, South Carolina,277702
45065,McCormick County, South Carolina,9806
45067,Marion County, South Carolina,31975
45069,Marlboro County, South Carolina,27702
45071,Newberry County, South Carolina,37750
45073,Oconee County, South Carolina,75375
45075,Orangeburg County, South Carolina,89731
45077,Pickens County, South Carolina,120722
45079,Richland County, South Carolina,401743
45081,Saluda County, South Carolina,20113
45083,Spartanburg County, South Carolina,294229
45085,Sumter County, South Carolina,107682
45087,Union County, South Carolina,27928
45089,Williamsburg County, South Carolina,32816
45091,York County, South Carolina,245606
46003,Aurora County, South Dakota,2732
46005,Beadle County, South Dakota,18155
46007,Bennett County, South Dakota,3445
46009,Bon Homme County, South Dakota,7001
46011,Brookings County, South Dakota,33435
46013,Brown County, South Dakota,38430
46015,Brule County, South Dakota,5312
46017,Buffalo County, South Dakota,2052
46019,Butte County, South Dakota,10268
46021,Campbell County, South Dakota,1553
46023,Charles Mix County, South Dakota,9277
46025,Clark County, South Dakota,3639
46027,Clay County, South Dakota,14029
46029,Codington County, South Dakota,27886
46031,Corson County, South Dakota,4170
46033,Custer County, South Dakota,8447
46035,Davison County, South Dakota,19824
46037,Day County, South Dakota,5588
46039,Deuel County, South Dakota,4309
46041,Dewey County, South Dakota,5652
46043,Douglas County, South Dakota,2961
46045,Edmunds County, South Dakota,4000
46047,Fall River County, South Dakota,6874
46049,Faulk County, South Dakota,2354
46051,Grant County, South Dakota,7195
46053,Gregory County, South Dakota,4217
46055,Haakon County, South Dakota,2073
46057,Hamlin County, South Dakota,5995
46059,Hand County, South Dakota,3311
46061,Hanson County, South Dakota,3390
46063,Harding County, South Dakota,1277
46065,Hughes County, South Dakota,17518
46067,Hutchinson County, South Dakota,7264
46069,Hyde County, South Dakota,1440
46071,Jackson County, South Dakota,3268
46073,Jerauld County, South Dakota,2029
46075,Jones County, South Dakota,767
46077,Kingsbury County, South Dakota,5070
46079,Lake County, South Dakota,12331
46081,Lawrence County, South Dakota,24859
46083,Lincoln County, South Dakota,51396
46085,Lyman County, South Dakota,3855
46087,McCook County, South Dakota,5616
46089,McPherson County, South Dakota,2252
46091,Marshall County, South Dakota,4743
46093,Meade County, South Dakota,26840
46095,Mellette County, South Dakota,2083
46097,Miner County, South Dakota,2299
46099,Minnehaha County, South Dakota,182014
46101,Moody County, South Dakota,6445
46102,Oglala Lakota County, South Dakota,14263
46103,Pennington County, South Dakota,107298
46105,Perkins County, South Dakota,3019
46107,Potter County, South Dakota,2306
46109,Roberts County, South Dakota,10294
46111,Sanborn County, South Dakota,2349
46115,Spink County, South Dakota,6539
46117,Stanley County, South Dakota,2964
46119,Sully County, South Dakota,1456
46121,Todd County, South Dakota,10019
46123,Tripp County, South Dakota,5475
46125,Turner County, South Dakota,8289
46127,Union County, South Dakota,14842
46129,Walworth County, South Dakota,5538
46135,Yankton County, South Dakota,22649
46137,Ziebach County, South Dakota,2818
47001,Anderson County, Tennessee,75545
47003,Bedford County, Tennessee,46331
47005,Benton County, Tennessee,16173
47007,Bledsoe County, Tennessee,14073
47009,Blount County, Tennessee,126192
47011,Bradley County, Tennessee,102860
47013,Campbell County, Tennessee,40008
47015,Cannon County, Tennessee,13855
47017,Carroll County, Tennessee,28417
47019,Carter County, Tennessee,56707
47021,Cheatham County, Tennessee,39575
47023,Chester County, Tennessee,17355
47025,Claiborne County, Tennessee,31701
47027,Clay County, Tennessee,7769
47029,Cocke County, Tennessee,35256
47031,Coffee County, Tennessee,53808
47033,Crockett County, Tennessee,14558
47035,Cumberland County, Tennessee,57895
47037,Davidson County, Tennessee,667885
47039,Decatur County, Tennessee,11703
47041,DeKalb County, Tennessee,19159
47043,Dickson County, Tennessee,50926
47045,Dyer County, Tennessee,37970
47047,Fayette County, Tennessee,39071
47049,Fentress County, Tennessee,17936
47051,Franklin County, Tennessee,41348
47053,Gibson County, Tennessee,49511
47055,Giles County, Tennessee,29034
47057,Grainger County, Tennessee,22813
47059,Greene County, Tennessee,68502
47061,Grundy County, Tennessee,13494
47063,Hamblen County, Tennessee,63203
47065,Hamilton County, Tennessee,351305
47067,Hancock County, Tennessee,6609
47069,Hardeman County, Tennessee,25975
47071,Hardin County, Tennessee,25839
47073,Hawkins County, Tennessee,56567
47075,Haywood County, Tennessee,18129
47077,Henderson County, Tennessee,27952
47079,Henry County, Tennessee,32291
47081,Hickman County, Tennessee,24251
47083,Houston County, Tennessee,8234
47085,Humphreys County, Tennessee,18216
47087,Jackson County, Tennessee,11526
47089,Jefferson County, Tennessee,52851
47091,Johnson County, Tennessee,17923
47093,Knox County, Tennessee,448164
47095,Lake County, Tennessee,7643
47097,Lauderdale County, Tennessee,27261
47099,Lawrence County, Tennessee,42406
47101,Lewis County, Tennessee,11907
47103,Lincoln County, Tennessee,33582
47105,Loudon County, Tennessee,50637
47107,McMinn County, Tennessee,52606
47109,McNairy County, Tennessee,26057
47111,Macon County, Tennessee,22924
47113,Madison County, Tennessee,98128
47115,Marion County, Tennessee,28363
47117,Marshall County, Tennessee,31335
47119,Maury County, Tennessee,85767
47121,Meigs County, Tennessee,11804
47123,Monroe County, Tennessee,45482
47125,Montgomery County, Tennessee,189709
47127,Moore County, Tennessee,6314
47129,Morgan County, Tennessee,21688
47131,Obion County, Tennessee,30900
47133,Overton County, Tennessee,22090
47135,Perry County, Tennessee,7891
47137,Pickett County, Tennessee,5096
47139,Polk County, Tennessee,16697
47141,Putnam County, Tennessee,74652
47143,Rhea County, Tennessee,32461
47145,Roane County, Tennessee,52983
47147,Robertson County, Tennessee,67905
47149,Rutherford County, Tennessee,290289
47151,Scott County, Tennessee,22029
47153,Sequatchie County, Tennessee,14710
47155,Sevier County, Tennessee,94537
47157,Shelby County, Tennessee,936990
47159,Smith County, Tennessee,19176
47161,Stewart County, Tennessee,13257
47163,Sullivan County, Tennessee,156644
47165,Sumner County, Tennessee,172786
47167,Tipton County, Tennessee,61558
47169,Trousdale County, Tennessee,7970
47171,Unicoi County, Tennessee,17945
47173,Union County, Tennessee,19081
47175,Van Buren County, Tennessee,5641
47177,Warren County, Tennessee,40099
47179,Washington County, Tennessee,126044
47181,Wayne County, Tennessee,16842
47183,Weakley County, Tennessee,34024
47185,White County, Tennessee,26373
47187,Williamson County, Tennessee,205645
47189,Wilson County, Tennessee,125616
48001,Anderson County, Texas,57772
48003,Andrews County, Texas,17215
48005,Angelina County, Texas,87657
48007,Aransas County, Texas,24729
48009,Archer County, Texas,8750
48011,Armstrong County, Texas,1913
48013,Atascosa County, Texas,47710
48015,Austin County, Texas,29107
48017,Bailey County, Texas,7131
48019,Bandera County, Texas,21015
48021,Bastrop County, Texas,78286
48023,Baylor County, Texas,3639
48025,Bee County, Texas,32706
48027,Bell County, Texas,330859
48029,Bexar County, Texas,1858699
48031,Blanco County, Texas,10918
48033,Borden County, Texas,698
48035,Bosque County, Texas,17953
48037,Bowie County, Texas,93483
48039,Brazoria County, Texas,338419
48041,Brazos County, Texas,209896
48043,Brewster County, Texas,9188
48045,Briscoe County, Texas,1672
48047,Brooks County, Texas,7217
48049,Brown County, Texas,37935
48051,Burleson County, Texas,17417
48053,Burnet County, Texas,44584
48055,Caldwell County, Texas,39848
48057,Calhoun County, Texas,21805
48059,Callahan County, Texas,13596
48061,Cameron County, Texas,418785
48063,Camp County, Texas,12631
48065,Carson County, Texas,6027
48067,Cass County, Texas,30346
48069,Castro County, Texas,7875
48071,Chambers County, Texas,38072
48073,Cherokee County, Texas,51257
48075,Childress County, Texas,7059
48077,Clay County, Texas,10367
48079,Cochran County, Texas,2955
48081,Coke County, Texas,3228
48083,Coleman County, Texas,8476
48085,Collin County, Texas,886633
48087,Collingsworth County, Texas,3032
48089,Colorado County, Texas,20792
48091,Comal County, Texas,124234
48093,Comanche County, Texas,13506
48095,Concho County, Texas,4142
48097,Cooke County, Texas,38878
48099,Coryell County, Texas,75710
48101,Cottle County, Texas,1560
48103,Crane County, Texas,4823
48105,Crockett County, Texas,3836
48107,Crosby County, Texas,5987
48109,Culberson County, Texas,2259
48111,Dallam County, Texas,7052
48113,Dallas County, Texas,2513054
48115,Dawson County, Texas,13317
48117,Deaf Smith County, Texas,19039
48119,Delta County, Texas,5226
48121,Denton County, Texas,754650
48123,DeWitt County, Texas,20660
48125,Dickens County, Texas,2237
48127,Dimmit County, Texas,10842
48129,Donley County, Texas,3506
48131,Duval County, Texas,11510
48133,Eastland County, Texas,18252
48135,Ector County, Texas,153177
48137,Edwards County, Texas,2028
48139,Ellis County, Texas,160225
48141,El Paso County, Texas,833592
48143,Erath County, Texas,40641
48145,Falls County, Texas,17265
48147,Fannin County, Texas,33757
48149,Fayette County, Texas,24909
48151,Fisher County, Texas,3847
48153,Floyd County, Texas,6088
48155,Foard County, Texas,1320
48157,Fort Bend County, Texas,683756
48159,Franklin County, Texas,10571
48161,Freestone County, Texas,19585
48163,Frio County, Texas,18542
48165,Gaines County, Texas,19485
48167,Galveston County, Texas,314485
48169,Garza County, Texas,6614
48171,Gillespie County, Texas,25732
48173,Glasscock County, Texas,1253
48175,Goliad County, Texas,7463
48177,Gonzales County, Texas,20370
48179,Gray County, Texas,23028
48181,Grayson County, Texas,124231
48183,Gregg County, Texas,123283
48185,Grimes County, Texas,27140
48187,Guadalupe County, Texas,147313
48189,Hale County, Texas,35007
48191,Hall County, Texas,3162
48193,Hamilton County, Texas,8232
48195,Hansford County, Texas,5552
48197,Hardeman County, Texas,3952
48199,Hardin County, Texas,55624
48201,Harris County, Texas,4434257
48203,Harrison County, Texas,66431
48205,Hartley County, Texas,5966
48207,Haskell County, Texas,5812
48209,Hays County, Texas,185686
48211,Hemphill County, Texas,4151
48213,Henderson County, Texas,79213
48215,Hidalgo County, Texas,828334
48217,Hill County, Texas,34901
48219,Hockley County, Texas,23377
48221,Hood County, Texas,54217
48223,Hopkins County, Texas,35844
48225,Houston County, Texas,22802
48227,Howard County, Texas,36423
48229,Hudspeth County, Texas,3481
48231,Hunt County, Texas,89068
48233,Hutchinson County, Texas,21782
48235,Irion County, Texas,1631
48237,Jack County, Texas,8866
48239,Jackson County, Texas,14678
48241,Jasper County, Texas,35640
48243,Jeff Davis County, Texas,2221
48245,Jefferson County, Texas,252993
48247,Jim Hogg County, Texas,5218
48249,Jim Wells County, Texas,41486
48251,Johnson County, Texas,157544
48253,Jones County, Texas,19944
48255,Karnes County, Texas,14984
48257,Kaufman County, Texas,111830
48259,Kendall County, Texas,39010
48261,Kenedy County, Texas,558
48263,Kent County, Texas,667
48265,Kerr County, Texas,50505
48267,Kimble County, Texas,4453
48269,King County, Texas,274
48271,Kinney County, Texas,3578
48273,Kleberg County, Texas,31877
48275,Knox County, Texas,3807
48277,Lamar County, Texas,49626
48279,Lamb County, Texas,13561
48281,Lampasas County, Texas,20357
48283,La Salle County, Texas,7319
48285,Lavaca County, Texas,19654
48287,Lee County, Texas,16754
48289,Leon County, Texas,16923
48291,Liberty County, Texas,78598
48293,Limestone County, Texas,23469
48295,Lipscomb County, Texas,3507
48297,Live Oak County, Texas,11976
48299,Llano County, Texas,19624
48301,Loving County, Texas,76
48303,Lubbock County, Texas,294682
48305,Lynn County, Texas,5723
48307,McCulloch County, Texas,8242
48309,McLennan County, Texas,243394
48311,McMullen County, Texas,671
48313,Madison County, Texas,13843
48315,Marion County, Texas,10191
48317,Martin County, Texas,5451
48319,Mason County, Texas,4064
48321,Matagorda County, Texas,36719
48323,Maverick County, Texas,56830
48325,Medina County, Texas,47920
48327,Menard County, Texas,2163
48329,Midland County, Texas,155817
48331,Milam County, Texas,24372
48333,Mills County, Texas,4871
48335,Mitchell County, Texas,8995
48337,Montague County, Texas,19384
48339,Montgomery County, Texas,518849
48341,Moore County, Texas,22186
48343,Morris County, Texas,12653
48345,Motley County, Texas,1022
48347,Nacogdoches County, Texas,65556
48349,Navarro County, Texas,48177
48351,Newton County, Texas,14138
48353,Nolan County, Texas,15017
48355,Nueces County, Texas,355667
48357,Ochiltree County, Texas,10577
48359,Oldham County, Texas,2069
48361,Orange County, Texas,83751
48363,Palo Pinto County, Texas,27922
48365,Panola County, Texas,23771
48367,Parker County, Texas,123601
48369,Parmer County, Texas,9921
48371,Pecos County, Texas,15826
48373,Polk County, Texas,46583
48375,Potter County, Texas,121883
48377,Presidio County, Texas,7144
48379,Rains County, Texas,11087
48381,Randall County, Texas,128603
48383,Reagan County, Texas,3625
48385,Real County, Texas,3348
48387,Red River County, Texas,12455
48389,Reeves County, Texas,14438
48391,Refugio County, Texas,7315
48393,Roberts County, Texas,939
48395,Robertson County, Texas,16537
48397,Rockwall County, Texas,88010
48399,Runnels County, Texas,10411
48401,Rusk County, Texas,53197
48403,Sabine County, Texas,10367
48405,San Augustine County, Texas,8556
48407,San Jacinto County, Texas,27172
48409,San Patricio County, Texas,66706
48411,San Saba County, Texas,5881
48413,Schleicher County, Texas,3171
48415,Scurry County, Texas,17314
48417,Shackelford County, Texas,3323
48419,Shelby County, Texas,25705
48421,Sherman County, Texas,3069
48423,Smith County, Texas,219745
48425,Somervell County, Texas,8673
48427,Starr County, Texas,63008
48429,Stephens County, Texas,9787
48431,Sterling County, Texas,1233
48433,Stonewall County, Texas,1233
48435,Sutton County, Texas,3936
48437,Swisher County, Texas,7639
48439,Tarrant County, Texas,1947529
48441,Taylor County, Texas,135234
48443,Terrell County, Texas,778
48445,Terry County, Texas,12724
48447,Throckmorton County, Texas,1520
48449,Titus County, Texas,32592
48451,Tom Green County, Texas,116264
48453,Travis County, Texas,1148176
48455,Trinity County, Texas,14360
48457,Tyler County, Texas,21371
48459,Upshur County, Texas,40295
48461,Upton County, Texas,3475
48463,Uvalde County, Texas,27055
48465,Val Verde County, Texas,48862
48467,Van Zandt County, Texas,53070
48469,Victoria County, Texas,90989
48471,Walker County, Texas,69926
48473,Waller County, Texas,47049
48475,Ward County, Texas,11396
48477,Washington County, Texas,34544
48479,Webb County, Texas,266006
48481,Wharton County, Texas,41377
48483,Wheeler County, Texas,5642
48485,Wichita County, Texas,132148
48487,Wilbarger County, Texas,13061
48489,Willacy County, Texas,21944
48491,Williamson County, Texas,490619
48493,Wilson County, Texas,46444
48495,Winkler County, Texas,7723
48497,Wise County, Texas,62089
48499,Wood County, Texas,43198
48501,Yoakum County, Texas,8316
48503,Young County, Texas,18275
48505,Zapata County, Texas,14335
48507,Zavala County, Texas,12107
49001,Beaver County, Utah,6437
49003,Box Elder County, Utah,51528
49005,Cache County, Utah,118824
49007,Carbon County, Utah,20733
49009,Daggett County, Utah,751
49011,Davis County, Utah,329292
49013,Duchesne County, Utah,20078
49015,Emery County, Utah,10570
49017,Garfield County, Utah,5020
49019,Grand County, Utah,9428
49021,Iron County, Utah,47751
49023,Juab County, Utah,10507
49025,Kane County, Utah,7216
49027,Millard County, Utah,12604
49029,Morgan County, Utah,10645
49031,Piute County, Utah,1859
49033,Rich County, Utah,2284
49035,Salt Lake County, Utah,1092518
49037,San Juan County, Utah,15540
49039,Sanpete County, Utah,28551
49041,Sevier County, Utah,20913
49043,Summit County, Utah,39009
49045,Tooele County, Utah,61986
49047,Uintah County, Utah,36308
49049,Utah County, Utah,564177
49051,Wasatch County, Utah,27895
49053,Washington County, Utah,151959
49055,Wayne County, Utah,2716
49057,Weber County, Utah,241328
50001,Addison County, Vermont,36926
50003,Bennington County, Vermont,36503
50005,Caledonia County, Vermont,30859
50007,Chittenden County, Vermont,160510
50009,Essex County, Vermont,6173
50011,Franklin County, Vermont,48625
50013,Grand Isle County, Vermont,6945
50015,Lamoille County, Vermont,25136
50017,Orange County, Vermont,28897
50019,Orleans County, Vermont,27076
50021,Rutland County, Vermont,60133
50023,Washington County, Vermont,58963
50025,Windham County, Vermont,43609
50027,Windsor County, Vermont,55894
51001,Accomack County, Virginia,33060
51003,Albemarle County, Virginia,104287
51005,Alleghany County, Virginia,15919
51007,Amelia County, Virginia,12793
51009,Amherst County, Virginia,31999
51011,Appomattox County, Virginia,15314
51013,Arlington County, Virginia,226092
51015,Augusta County, Virginia,74330
51017,Bath County, Virginia,4558
51019,Bedford County, Virginia,76933
51021,Bland County, Virginia,6612
51023,Botetourt County, Virginia,33192
51025,Brunswick County, Virginia,16573
51027,Buchanan County, Virginia,23158
51029,Buckingham County, Virginia,17030
51031,Campbell County, Virginia,55061
51033,Caroline County, Virginia,29640
51035,Carroll County, Virginia,29733
51036,Charles City County, Virginia,7086
51037,Charlotte County, Virginia,12232
51041,Chesterfield County, Virginia,331839
51043,Clarke County, Virginia,14307
51045,Craig County, Virginia,5195
51047,Culpeper County, Virginia,48952
51049,Cumberland County, Virginia,9769
51051,Dickenson County, Virginia,15304
51053,Dinwiddie County, Virginia,28155
51057,Essex County, Virginia,11130
51059,Fairfax County, Virginia,1132887
51061,Fauquier County, Virginia,68025
51063,Floyd County, Virginia,15587
51065,Fluvanna County, Virginia,26046
51067,Franklin County, Virginia,56230
51069,Frederick County, Virginia,82321
51071,Giles County, Virginia,16871
51073,Gloucester County, Virginia,37021
51075,Goochland County, Virginia,21979
51077,Grayson County, Virginia,15180
51079,Greene County, Virginia,19085
51081,Greensville County, Virginia,11698
51083,Halifax County, Virginia,35305
51085,Hanover County, Virginia,102199
51087,Henrico County, Virginia,321921
51089,Henry County, Virginia,52209
51091,Highland County, Virginia,2230
51093,Isle of Wight County, Virginia,36027
51095,James City County, Virginia,71900
51097,King and Queen County, Virginia,7140
51099,King George County, Virginia,25260
51101,King William County, Virginia,16156
51103,Lancaster County, Virginia,11055
51105,Lee County, Virginia,24911
51107,Loudoun County, Virginia,362435
51109,Louisa County, Virginia,34350
51111,Lunenburg County, Virginia,12450
51113,Madison County, Virginia,13122
51115,Mathews County, Virginia,8848
51117,Mecklenburg County, Virginia,31209
51119,Middlesex County, Virginia,10728
51121,Montgomery County, Virginia,97227
51125,Nelson County, Virginia,14831
51127,New Kent County, Virginia,20051
51131,Northampton County, Virginia,12118
51133,Northumberland County, Virginia,12272
51135,Nottoway County, Virginia,15641
51137,Orange County, Virginia,34873
51139,Page County, Virginia,23759
51141,Patrick County, Virginia,18180
51143,Pittsylvania County, Virginia,62392
51145,Powhatan County, Virginia,28286
51147,Prince Edward County, Virginia,23077
51149,Prince George County, Virginia,37664
51153,Prince William County, Virginia,443630
51155,Pulaski County, Virginia,34417
51157,Rappahannock County, Virginia,7416
51159,Richmond County, Virginia,8868
51161,Roanoke County, Virginia,93655
51163,Rockbridge County, Virginia,22450
51165,Rockingham County, Virginia,78427
51167,Russell County, Virginia,27973
51169,Scott County, Virginia,22378
51171,Shenandoah County, Virginia,42857
51173,Smyth County, Virginia,31513
51175,Southampton County, Virginia,18291
51177,Spotsylvania County, Virginia,129181
51179,Stafford County, Virginia,139548
51181,Surry County, Virginia,6731
51183,Sussex County, Virginia,11733
51185,Tazewell County, Virginia,43367
51187,Warren County, Virginia,38807
51191,Washington County, Virginia,54562
51193,Westmoreland County, Virginia,17528
51195,Wise County, Virginia,40074
51197,Wythe County, Virginia,29171
51199,York County, Virginia,66919
51510,Alexandria city, Virginia,151473
51520,Bristol city, Virginia,17340
51530,Buena Vista city, Virginia,6610
51540,Charlottesville city, Virginia,45538
51550,Chesapeake city, Virginia,233194
51570,Colonial Heights city, Virginia,17554
51580,Covington city, Virginia,5650
51590,Danville city, Virginia,42360
